date,home,away,neutral,hg,ag,actual,cutoff,train_n,model,p_home,p_draw,p_away,predictable
2025-03-21,England,Albania,False,2,0,home,2025-02-15,4256,dixon_coles,0.7487082595526069,0.18622914143938055,0.06506259900801253,True
2025-03-21,Andorra,Latvia,False,0,1,away,2025-02-15,4256,dixon_coles,0.2006136083767623,0.3720577180495029,0.42732867357373494,True
2025-03-21,Rwanda,Nigeria,False,0,2,away,2025-02-15,4256,dixon_coles,0.25563554115816417,0.3474140189094721,0.39695043993236373,True
2025-03-21,Ghana,Chad,False,5,0,home,2025-02-15,4256,dixon_coles,0.7229718981214799,0.2156009844858275,0.06142711739269253,True
2025-03-21,DR Congo,South Sudan,False,1,0,home,2025-02-15,4256,dixon_coles,0.8259127862519808,0.13938022768778496,0.034706986060234236,True
2025-03-21,Saint Vincent and the Grenadines,Jamaica,False,1,1,draw,2025-02-15,4256,dixon_coles,0.03365990186661606,0.07286660130761205,0.893473496825772,True
2025-03-21,Burkina Faso,Djibouti,True,4,1,home,2025-02-15,4256,dixon_coles,0.8805254477628861,0.08677322414750138,0.03270132808961246,True
2025-03-21,Ethiopia,Egypt,True,0,2,away,2025-02-15,4256,dixon_coles,0.056494886543808416,0.15439030692821473,0.7891148065279767,True
2025-03-21,Belize,Costa Rica,False,0,7,away,2025-02-15,4256,dixon_coles,0.025208242061151326,0.10430174148164802,0.8704900164572007,True
2025-03-21,Guyana,Guatemala,True,3,2,home,2025-02-15,4256,dixon_coles,0.0888852670775868,0.17295860731552531,0.7381561256068879,True
2025-03-21,Bermuda,Honduras,False,3,5,away,2025-02-15,4256,dixon_coles,0.02629320659933733,0.06059723770741027,0.9131095556932523,True
2025-03-21,Suriname,Martinique,False,1,0,home,2025-02-15,4256,dixon_coles,0.5052473849177337,0.2747925081841822,0.21996010689808426,True
2025-03-21,Cuba,Trinidad and Tobago,False,1,2,away,2025-02-15,4256,dixon_coles,0.3436149724084411,0.2932254759895987,0.36315955160196023,True
2025-03-21,Guadeloupe,Nicaragua,False,1,0,home,2025-02-15,4256,dixon_coles,0.3205216836765544,0.33511171373212695,0.3443666025913187,True
2025-03-21,Puerto Rico,Dominican Republic,False,2,2,draw,2025-02-15,4256,dixon_coles,0.24681931748189484,0.21390033338199607,0.5392803491361091,True
2025-03-21,Singapore,Nepal,False,0,1,away,2025-02-15,4256,dixon_coles,0.6227966899104849,0.22162367787878598,0.15557963221072924,True
2025-03-21,Thailand,Afghanistan,False,2,0,home,2025-02-15,4256,dixon_coles,0.8549229377244756,0.10462748657857318,0.04044957569695112,True
2025-03-21,Ecuador,Venezuela,False,2,1,home,2025-02-15,4256,dixon_coles,0.576017480465159,0.2776915217526425,0.1462909977821983,True
2025-03-21,Uruguay,Argentina,False,0,1,away,2025-02-15,4256,dixon_coles,0.2388208638102218,0.33553873043392246,0.4256404057558557,True
2025-03-21,New Zealand,Fiji,False,7,0,home,2025-02-15,4256,dixon_coles,0.9649576046445996,0.02975468752864564,0.005287707826754742,True
2025-03-21,Northern Ireland,Switzerland,False,1,1,draw,2025-02-15,4256,dixon_coles,0.21564659791286975,0.25043211380443886,0.5339212882826914,True
2025-03-22,Liechtenstein,North Macedonia,False,0,3,away,2025-02-15,4256,dixon_coles,0.019720396468611692,0.10799030996143254,0.8722892935699558,True
2025-03-22,Czech Republic,Faroe Islands,False,2,1,home,2025-02-15,4256,dixon_coles,0.863846141660135,0.10364825151266335,0.032505606827201744,True
2025-03-22,Montenegro,Gibraltar,False,3,1,home,2025-02-15,4256,dixon_coles,0.8733154462809166,0.10325044986786679,0.02343410385121674,True
2025-03-22,Wales,Kazakhstan,False,3,1,home,2025-02-15,4256,dixon_coles,0.7018060052513448,0.20596706113023686,0.09222693361841813,True
2025-03-22,Israel,Estonia,True,2,1,home,2025-02-15,4256,dixon_coles,0.6393315372754836,0.22000560695120835,0.140662855773308,True
2025-03-22,Luxembourg,Sweden,False,1,0,home,2025-02-15,4256,dixon_coles,0.09024933233998368,0.1646025811012703,0.7451480865587461,True
2025-03-22,Sudan,Senegal,True,0,0,draw,2025-02-15,4256,dixon_coles,0.08239024314073254,0.26187802020717726,0.6557317366520902,True
2025-03-22,Togo,Mauritania,False,2,2,draw,2025-02-15,4256,dixon_coles,0.4232269911582779,0.3190982099518324,0.25767479888988964,True
2025-03-22,Azerbaijan,Haiti,False,0,3,away,2025-02-15,4256,dixon_coles,0.47800529042743706,0.23700178355750057,0.2849929260150624,True
2025-03-22,Moldova,Norway,False,0,5,away,2025-02-15,4256,dixon_coles,0.0638932436285234,0.1348083436309229,0.8012984127405538,True
2025-03-23,Serbia,Austria,False,2,0,home,2025-02-15,4256,dixon_coles,0.38201156441519013,0.2815009202328435,0.3364875153519663,True
2025-03-23,Kenya,Gabon,False,1,2,away,2025-02-15,4256,dixon_coles,0.42270492958619543,0.29120251142461834,0.2860925589891863,True
2025-03-23,Eswatini,Mauritius,True,3,3,draw,2025-02-15,4256,dixon_coles,0.496845886706746,0.32719114585296144,0.17596296744029252,True
2025-03-23,Slovenia,Slovakia,False,1,0,home,2025-02-15,4256,dixon_coles,0.41530488920072145,0.31602119800055645,0.2686739127987221,True
2025-03-23,Republic of Ireland,Bulgaria,False,2,1,home,2025-02-15,4256,dixon_coles,0.5501878024257588,0.29247844129345574,0.15733375628078525,True
2025-03-23,Iceland,Kosovo,True,1,3,away,2025-02-15,4256,dixon_coles,0.3153514818908092,0.2999202189493017,0.38472829915988893,True
2025-03-23,Georgia,Armenia,False,6,1,home,2025-02-15,4256,dixon_coles,0.8076604208459971,0.12730234431971849,0.0650372348342845,True
2025-03-23,Scotland,Greece,False,0,3,away,2025-02-15,4256,dixon_coles,0.2702554794084837,0.3090100563061457,0.4207344642853707,True
2025-03-23,Germany,Italy,False,3,3,draw,2025-02-15,4256,dixon_coles,0.5416533870057004,0.23054625191921324,0.22780036107508644,True
2025-03-23,Belgium,Ukraine,False,3,0,home,2025-02-15,4256,dixon_coles,0.5600506537495624,0.2548887215063244,0.18506062474411333,True
2025-03-23,Spain,Netherlands,False,3,3,draw,2025-02-15,4256,dixon_coles,0.6701707839790054,0.19039598818638542,0.13943322783460926,True
2025-03-23,Portugal,Denmark,False,5,2,home,2025-02-15,4256,dixon_coles,0.5351444996024162,0.2748476907907416,0.19000780960684233,True
2025-03-23,Hungary,Turkey,False,0,3,away,2025-02-15,4256,dixon_coles,0.4521682156450847,0.26609079798827556,0.2817409863666398,True
2025-03-23,France,Croatia,False,2,0,home,2025-02-15,4256,dixon_coles,0.5845441530557718,0.2449616805725439,0.17049416637168424,True
2025-03-23,Panama,Mexico,True,1,2,away,2025-02-15,4256,dixon_coles,0.1661753637951479,0.24695713561314722,0.5868675005917049,True
2025-03-23,United States,Canada,False,1,2,away,2025-02-15,4256,dixon_coles,0.48043820909206336,0.2752102505514896,0.24435154035644707,True
2025-03-24,Albania,Andorra,False,3,0,home,2025-02-15,4256,dixon_coles,0.7950388733327217,0.17754175936855815,0.027419367298720146,True
2025-03-24,England,Latvia,False,3,0,home,2025-02-15,4256,dixon_coles,0.9747170611907563,0.021602496255070203,0.0036804425541734826,True
2025-03-24,San Marino,Romania,False,1,5,away,2025-02-15,4256,dixon_coles,0.00758520508879232,0.04881448022352769,0.94360031468768,True
2025-03-24,Bosnia and Herzegovina,Cyprus,False,2,1,home,2025-02-15,4256,dixon_coles,0.5678163409709416,0.2522792587485566,0.17990440028050195,True
2025-03-24,Lithuania,Finland,False,2,2,draw,2025-02-15,4256,dixon_coles,0.1816599466247389,0.26887437548314713,0.5494656778921141,True
2025-03-24,Madagascar,Ghana,True,0,3,away,2025-02-15,4256,dixon_coles,0.2319043856263397,0.3072800409052491,0.46081557346841123,True
2025-03-24,Central African Republic,Mali,True,0,0,draw,2025-02-15,4256,dixon_coles,0.0632542851594859,0.17028685352082076,0.7664588613196932,True
2025-03-24,Poland,Malta,False,2,0,home,2025-02-15,4256,dixon_coles,0.8861701893624265,0.08502546507556569,0.02880434556200754,True
2025-03-24,Liberia,São Tomé and Príncipe,False,2,1,home,2025-02-15,4256,dixon_coles,0.8131435165252545,0.1361770904428917,0.050679393031853814,True
2025-03-24,Namibia,Equatorial Guinea,True,1,1,draw,2025-02-15,4256,dixon_coles,0.2861622821019788,0.3737230144548642,0.34011470344315686,True
2025-03-24,Ivory Coast,Gambia,False,1,0,home,2025-02-15,4256,dixon_coles,0.7434262748970795,0.16687017269841117,0.08970355240450942,True
2025-03-24,Ethiopia,Djibouti,True,6,1,home,2025-02-15,4256,dixon_coles,0.5709612131411557,0.24867682452643192,0.18036196233241256,True
2025-03-24,Guinea-Bissau,Burkina Faso,False,1,2,away,2025-02-15,4256,dixon_coles,0.2231218790474881,0.26592733320296075,0.5109507877495512,True
2025-03-24,New Zealand,New Caledonia,False,3,0,home,2025-02-15,4256,dixon_coles,0.9750285798824545,0.02102923018267777,0.003942189934867784,True
2025-03-24,Tunisia,Malawi,False,2,0,home,2025-02-15,4256,dixon_coles,0.6959165024242637,0.23024076551864453,0.07384273205709178,True
2025-03-25,Benin,South Africa,True,0,2,away,2025-02-15,4256,dixon_coles,0.24400857437392764,0.2859075271205932,0.4700838985054793,True
2025-03-25,Sudan,South Sudan,True,1,1,draw,2025-02-15,4256,dixon_coles,0.5782413321233105,0.28512488355019644,0.13663378432649298,True
